industry,pitch,median
Marketing/Advertising,Product_2,6.0
Materials/Manufacturing,Product_1,6.299589863204369
Materials/Manufacturing,Product_2,6.2
Medical Equipment,Product_1,6.295213349590539
Medical Equipment,Product_2,6.225
Metals/Mining,Product_1,6.25
Metals/Mining,Product_2,6.199999999999999
Movies,Product_1,6.304374188536665
Movies,Product_2,5.85
Multimedia Hardware,Product_2,6.8
Multimedia Software,Product_1,6.825
Multimedia Software,Product_2,6.5
Music,Product_1,6.075
Music,Product_2,6.25
Natural Gas,Product_1,6.075000000000001
Network Infrastructure,Product_1,6.6
Network Infrastructure,Product_2,6.5
Networking/Comm.,Product_1,6.15
Networking/Comm.,Product_2,6.225
Newspapers,Product_1,6.05
Non-Profit,Product_1,6.2
Non-Profit,Product_2,6.275
OSPs (Optical),Product_1,6.4
OSPs (Optical),Product_2,6.2
Office Equipment,Product_1,6.475
Office Supplies,Product_1,6.2
Office Supplies,Product_2,6.3
"Oil, Gas, Coal",Product_1,6.3289055512826575
"Oil, Gas, Coal",Product_2,6.4
Online Banking,Product_1,6.35
Online Banking,Product_2,6.25
Other,Product_1,6.3500000000000005
Other,Product_2,6.3
Other Biz Products,Product_2,5.975
Other Biz Services,Product_1,6.287882712754405
Other Biz Services,Product_2,6.327489222454714
Other Consulting,Product_1,6.225
Other Consulting,Product_2,6.2677230782216995
Other Investment Firms,Product_1,6.301386965054995
Other Investment Firms,Product_2,6.239289414755268
Other Vehicles,Product_1,6.800000000000001
Other Vehicles,Product_2,6.308527926038114
Outsourcing,Product_1,6.3
Outsourcing,Product_2,6.3060439289425725
Packaging/Containers,Product_1,6.225
Packaging/Containers,Product_2,6.15
Periodicals,Product_1,6.5
Periodicals,Product_2,6.4
Peripherals/Comp.,Product_1,6.25
Peripherals/Comp.,Product_2,6.25
Personal Services,Product_1,6.320069388298844
Personal Services,Product_2,6.2
Personal/Household Products,Product_1,6.45
Personal/Household Products,Product_2,6.306403192228477
Photography,Product_1,6.3
Photography,Product_2,6.275
Plastic/Rubber,Product_1,6.300000000000001
Plastic/Rubber,Product_2,6.5
Plumbing/HVAC,Product_1,6.2
Plumbing/HVAC,Product_2,6.1499999999999995
Printing Services,Product_1,5.9
Printing Services,Product_2,6.300000000000001
Professional Services,Product_1,6.225
Professional Services,Product_2,6.149648317761983
Property/Casualty,Product_1,6.2
Property/Casualty,Product_2,6.30122522203289
Publishing,Product_1,6.35
Publishing,Product_2,6.699999999999999
REIT,Product_1,6.2633141887130535
REIT,Product_2,6.300904308553956
Radio,Product_1,6.575
Railroads,Product_1,5.7
Railroads,Product_2,6.55
Real Estate,Product_1,6.25
Real Estate,Product_2,6.25
Recreational Products,Product_1,6.300000000000001
Recreational Products,Product_2,6.3999999999999995
Recreational Services,Product_1,6.267818491531651
Recreational Services,Product_2,6.302111465659204
Religious Groups,Product_1,7.0
Rentals/Leasing,Product_1,6.225
Rentals/Leasing,Product_2,6.3
Restaurants,Product_1,6.1000000000000005
Restaurants,Product_2,6.2
Retail,Product_1,6.278264717299193
Retail,Product_2,6.2
SaaS,Product_1,6.199999999999999
SaaS,Product_2,6.42896805540038
Sales/Marketing Services,Product_1,6.675
Sales/Marketing Services,Product_2,6.239918777043667
Sales/Marketing Software,Product_1,6.8500000000000005
Satellite/RF/Micro,Product_2,5.975
Schools,Product_1,6.300000000000001
Schools,Product_2,6.025
Scientific,Product_1,6.35
Scientific,Product_2,6.374443251805147
Security Hardware,Product_1,6.35
Security Hardware,Product_2,5.9
Security Services,Product_2,6.15
Security Software,Product_1,6.25
Security Software,Product_2,6.35
Semiconductors,Product_1,6.2
Semiconductors,Product_2,6.3
Servers/Storage,Product_1,6.3
Servers/Storage,Product_2,6.305980220340144
Service Providers,Product_1,6.292537488900831
Service Providers,Product_2,6.297288294678761
Services,Product_1,6.28441599908994
Services,Product_2,6.45
Shipping,Product_1,6.424999999999999
Shipping,Product_2,6.3
Social Services,Product_1,6.25
Social Services,Product_2,6.351643447817944
Software,Product_1,6.3
Software,Product_2,6.25
Software Consulting,Product_1,6.266872829443881
Software Consulting,Product_2,6.175000000000001
Specialty,Product_1,6.125
Specialty,Product_2,6.2
Speech Recognition,Product_2,5.9
Staffing,Product_1,6.225
Staffing,Product_2,6.35
Staffing/Outsourcing/HR,Product_1,6.4
Staffing/Outsourcing/HR,Product_2,6.4
Supply Chain,Product_1,6.925000000000001
Supply Chain,Product_2,5.6
Technology Consulting,Product_1,6.302700361027494
Technology Consulting,Product_2,6.307217982392861
Technology Retail,Product_1,6.300000000000001
Technology Retail,Product_2,5.975
Telecom Consulting,Product_1,6.300000000000001
Telecom Consulting,Product_2,6.05
Telecom Hardware,Product_1,5.9
Telecom Hardware,Product_2,6.3
Telecom Services/Telephone Companies,Product_1,6.25
Telecom Services/Telephone Companies,Product_2,6.175000000000001
Telecom Software,Product_2,6.55
Television/Cable,Product_1,6.1000000000000005
Television/Cable,Product_2,6.297444490750005
Testing,Product_1,6.5
Testing,Product_2,6.25
Training,Product_1,6.05
Training,Product_2,6.325
Trucking,Product_1,6.446816202708538
Trucking,Product_2,6.301806653998867
Trucks/Buses/RVs,Product_2,6.3
Utilities,Product_1,6.199999999999999
Utilities,Product_2,6.6
Venture Capital,Product_1,6.307731649327902
Venture Capital,Product_2,6.175000000000001
Vitamins/Nutritionals/Other,Product_1,6.263291653260721
Vitamins/Nutritionals/Other,Product_2,6.8
WSPs (Wireless),Product_1,6.3
Warehousing/Logistics,Product_1,6.3
Warehousing/Logistics,Product_2,6.252576930766875
Waste/Recycling,Product_1,6.1
Waste/Recycling,Product_2,6.449999999999999
Water Utilities,Product_1,6.6
Water Utilities,Product_2,6.5
Web,Product_1,6.5
Web Development,Product_2,6.2
Wireless Consulting,Product_1,5.85
Wireless Consulting,Product_2,6.328847704658784
Wireless Hardware,Product_1,6.1
Wireless Hardware,Product_2,6.6499999999999995
Wireless Software Networking,Product_1,6.5
Wood/Paper,Product_1,6.284676248433832
Wood/Paper,Product_2,6.4
Wood/Timber,Product_1,6.7
Wood/Timber,Product_2,6.875
eBusiness,Product_1,6.5
eCommerce,Product_1,6.425000000000001
eCommerce,Product_2,6.404240046355033
eMail/Messaging,Product_1,6.449999999999999
